VALVESIZE,VALVESIZEmm,SEATDIA,SEATDIA PR. BAL,STEM DIA,STEM DIA PRBL,LINKVMIN,LINKVMAX,LINCVMIN,LINCVMAX
0.5,15,20,0,14,0,1.2,2.6,1.4,3.04
1,25,20,0,14,0,1.2,2.6,1.4,3.04
1,25,25,0,14,0,1.5,3.2,1.76,3.74
1.5,40,25,0,14,0,1.5,3.2,1.76,3.74
1.5,40,36,0,14,0,1.8,5.4,2.11,6.32
2,50,36,0,14,0,1.8,5.4,2.11,6.32
2,50,46,0,14,0,2.2,6.4,2.57,7.49
2.5,65,36,0,14,0,1.8,5.4,2.11,6.32
2.5,65,46,0,14,0,2.2,6.4,2.57,7.49
3,80,50,80,20,0,4,12.1,4.68,14.16
3,80,80,80,20,0,5,18.2,5.85,21.29
4,100,80,100,20,0,5,18.2,5.85,21.29
4,100,100,100,20,0,7,24.2,8.19,28.31
6,150,90,143,20,0,15,53,17.55,62.01
6,150,113,143,20,0,20,67,23.4,78.39
6,150,143,143,20,0,26,88,30.42,102.96
8,200,113,172,20,0,20,67,23.4,78.39
8,200,143,172,20,0,26,88,30.42,102.96
8,200,172,172,20,0,32,107,37.44,125.19
10,250,143,220,30,0,42,140,49.14,163.8
10,250,172,220,30,0,60,203,70.2,237.51
10,250,220,220,30,0,73,245,85.41,286.65
12,300,172,282,30,0,60,203,70.2,237.51
12,300,220,282,30,0,73,245,85.41,286.65
12,300,282,282,30,0,105,353,122.85,413.01
14,350,220,313,30,0,73,245,85.41,286.65
14,350,282,313,30,0,105,353,122.85,413.01
14,350,313,313,30,0,105,370,122.85,432.9
16,400,282,400,30,0,105,370,122.85,432.9
16,400,313,400,30,0,120,410,140.4,479.7
16,400,400,400,30,0,150,507,175.5,593.19
