LIFT,ACTUATOR NAME/MODEL,Spring End Range in kg/cm2,Diaphragm in cms2,Initial spring rage in kg/cm2,Final spring rage in kg/cm2,Actuator force kgF,FPS->,LIFT,ACTUATOR NAME/MODEL,Spring End Range in kg/cm2,Diaphragm in cms2,Initial spring rage in PSIG,Final spring rage in PSIG,Actuator force Lbs,Noof Springs
30,UV-60.v1.4-2.65-O,2.65,1440,1.4,2.65,1975,,30,UV-60.v20.3-38.4-O,38.43507,1440,20.3,38.4,4354.1245,1
30,UV-60.v1.6-2.85-O,2.85,1440,1.6,2.85,2255,,30,UV-60.v23.2-41.3-O,41.33583,1440,23.2,41.3,4971.4181,1
30,UV-60.v1.75-3-O,3,1440,1.75,3,2465,,30,UV-60.v25.4-43.5-O,43.5114,1440,25.4,43.5,5434.3883,1
30,UV-60.v2.4-4.5-O,4.5,1440,2.4,4.5,2800,,30,UV-60.v34.8-65.3-O,65.2671,1440,34.8,65.3,6172.936,1
30,UV-60.v2.9-4.55-O,4.55,1440,2.9,4.55,3000,,30,UV-60.v42.1-66.0-O,65.99229,1440,42.1,66,6613.86,1
60,UIII-60.n0.2-1-O,1,720,0.2,1,140,,60,UIII-60.n2.9-14.5-O,14.5038,720,2.9,14.5,308.6468,1
60,UIII-60.n0.4-1.2-O,1.2,720,0.4,1.2,280,,60,UIII-60.n5.8-17.4-O,17.40456,720,5.8,17.4,617.2936,1
60,UIII-60.n0.6-1.4-O,1.4,720,0.6,1.4,425,,60,UIII-60.n8.7-20.3-O,20.30532,720,8.7,20.3,936.9635,1
60,UIII-60.n0.8-1.6-O,1.6,720,0.8,1.6,565,,60,UIII-60.n11.6-23.2-O,23.20608,720,11.6,23.2,1245.6103,1
60,UIII-60.v1-2.6-O,2.6,720,1,2.6,705,,60,UIII-60.v14.5-37.7-O,37.70988,720,14.5,37.7,1554.2571,1
60,UIII-30.v1.2-2.8-O,2.8,720,1.2,2.8,845,,60,UIII-30.v17.4-40.6-O,40.61064,720,17.4,40.6,1862.9039,1
60,UIII-30.v1.4-3-O,3,720,1.4,3,990,,60,UIII-30.v20.3-43.5-O,43.5114,720,20.3,43.5,2182.5738,1
60,UV-60.n0.8-1.6-O,1.6,1440,0.8,1.6,1130,,60,UV-60.n11.6-23.2-O,23.20608,1440,11.6,23.2,2491.2206,1
60,UV-60.n1-1.8-O,1.8,1440,1,1.8,1410,,60,UV-60.n14.5-26.1-O,26.10684,1440,14.5,26.1,3108.5142,1
60,UV-60.v1.2-2.45-O,2.45,1440,1.2,2.45,1690,,60,UV-60.v17.4-35.5-O,35.53431,1440,17.4,35.5,3725.8078,1
60,UV-60.v1.4-2.65-O,2.65,1440,1.4,2.65,1975,,60,UV-60.v20.3-38.4-O,38.43507,1440,20.3,38.4,4354.1245,1
60,UV-60.v1.6-2.85-O,2.85,1440,1.6,2.85,2255,,60,UV-60.v23.2-41.3-O,41.33583,1440,23.2,41.3,4971.4181,1
60,UV-60.v1.75-3-O,3,1440,1.75,3,2465,,60,UV-60.v25.4-43.5-O,43.5114,1440,25.4,43.5,5434.3883,1
60,UV-60.v2.4-4.5-O,4.5,1440,2.4,4.5,2800,,60,UV-60.v34.8-65.3-O,65.2671,1440,34.8,65.3,6172.936,1
60,UV-60.v2.9-4.55-O,4.55,1440,2.9,4.55,3000,,60,UV-60.v42.1-66.0-O,65.99229,1440,42.1,66,6613.86,1
100,UV-100.n0.2-1-O,1,1440,0.2,1,280,,100,UV-100.n2.9-14.5-O,14.5038,1440,2.9,14.5,617.2936,1
100,UV-100.n0.4-1.2-O,1.2,1440,0.4,1.2,565,,100,UV-100.n5.8-17.4-O,17.40456,1440,5.8,17.4,1245.6103,1
100,UV-100.n0.6-1.4-O,1.4,1440,0.6,1.4,845,,100,UV-100.n8.7-20.3-O,20.30532,1440,8.7,20.3,1862.9039,1
100,UV-100.n0.8-2.8-O,1.6,1440,0.8,1.6,1130,,100,UV-100.n11.6-23.2-O,23.20608,1440,11.6,23.2,2491.2206,1
100,UV-100.n1-3-O,1.8,1440,1,1.8,1410,,100,UV-100.n14.5-26.1-O,26.10684,1440,14.5,26.1,3108.5142,1
120,UV-120.n0.2-1-O,1,1440,0.2,1,280,,120,UV-120.n2.9-14.5-O,14.5038,1440,2.9,14.5,617.2936,1
120,UV-120.n0.4-1.2-O,1.2,1440,0.4,1.2,565,,120,UV-120.n5.8-17.4-O,17.40456,1440,5.8,17.4,1245.6103,1
120,UV-120.n0.6-1.4-O,1.4,1440,0.6,1.4,845,,120,UV-120.n8.7-20.3-O,20.30532,1440,8.7,20.3,1862.9039,1
120,UV-120.n0.8-2.8-O,1.6,1440,0.8,1.6,1130,,120,UV-120.n11.6-23.2-O,23.20608,1440,11.6,23.2,2491.2206,1
120,UV-120.n1-3-O,1.8,1440,1,1.8,1410,,120,UV-120.n14.5-26.1-O,26.10684,1440,14.5,26.1,3108.5142,1
