TOP Bonnet TYPE,END CONNECTION,BODY MAT.,Plug ,Seat,TOP MAT.,GASKET MAT.,PAINTING,POSITIONER,SOV,AFR,ALR,Limit switch Box,VOL. BOOSTER,Pos. Trans,V.TANK.,ROBOTOR,I to P,Q.E.V.,CERTIFICATION,Handwheel,Tubing,Guiding ,Positioner Make,AFR Make,ALR Make,SOV Make,VB Make,Limit Switch Make,QEV Make
,,A351 CN7M,STELLITE 6B,SS316-stel.,A216 WCC INV,,,8400SPNNW-100,NF8327B101,11-4SN-201M-M6KN-ES,,DXLW-1A2-4R-M1,,,,,,,NIBR+RADIOGRAPHY (ANSI B16.34)+LP+UT+PMI+EN CERTIFICATION (EN 10204 3.1),,,,FM,SHAVO,,ASCO,,ROTEX,
,,A890 CD3MN/DUPLEX 2205,SS DUPLEX (2205),SS316L,A216 WCC,,,8400SPHNE-60,WPTIS8307B015,SB77-251-M5KN-N,,DNLF-3A-2-4R,,,,,,,RADIOGRAPHY (ANSI B16.34)+NIBR+LP+MP,,,,FM,SHAVO,,ASCO,,ROTEX,
,,ASTM A995 GR CD3MN-4A/DUPLEX 2205,SS DUPLEX STEL (2205),SS316L STEL,MONEL-500,,,8400SPHTW - 60,WPTIS8307B005,SB07-225-A1KA,,DXLW-13A-2-4R-B5,,,,,,,RADIOGRAPHY (ANSI B16.34)+NIBR+FERRITE CONTENT+LP+EN CERT. (EN 10204 3.1)+IGC+PMI+HARDNESS+MPT,,,,FM,SHAVO,,ASCO,,ROTEX,
,,ASTM A890 GR. CE3MN-5A (PREN > 40),1.4122 NITR,SS304,HAST ALLOY C INV,,,8400SPHNW-100,X8320GI74MF-15448,11-4SN-201M-M5KN-NS,,DNLF-1A-2-4R-A,,,,,,,DEGREASING,,,,FM,SHAVO,,ASCO,,ROTEX,
,,ASTM A995 GR CE3MN-5A/DUPLEX 2205,1.4122,SS304L,HAST ALLOY C,,,8400SPNTW-60,WSTISX8307B005,11-4SN-201M-M6KA-ES,,DNLF-11A-2-4R,,,,,,,NIBR+LP+UT,,,,FM,SHAVO,,ASCO,,ROTEX,
,,,1.4122 STEL,SS304LSTEL,CG8M INV (SS317),,,8400SPHTW-100,WPHB8307B005U,11-4SN-401M-M6KA-NS,,DNLF-5A-2-4R-CC,,,,,,,IBR+LP+UT,,,,FM,SHAVO,,ASCO,,ROTEX,
,,,SS316-nitr.,SS431 NITR,CG8M (SS317),,,8400SHHNW,WP8327A021,11-4SN-201M-M6KA-NN,,DXLW-302A-2-4R-B5,,,,,,,NIBR+LP+UT+FERRITE CONTENT,,,,FM,SHAVO,,ASCO,,ROTEX,
,,,SS316,A276 SS431,ALLOY 20 INV,,,8400SPNTE-60,WPTISX8531B301MO-17346,11-4SN-201M-M5KN-VS,,DXLW-5A-2-4R,,,,,,,RADIOGRAPHY (ANSI B16.34)+NIBR+HELIUM LEAK TEST,,,,FM,SHAVO,,ASCO,,ROTEX,
,,,SS316-stel.,SS431 STEL,ALLOY 20,,,830L-EX,WP8307B075F,SB07-225-A6KA,,DNLF-5A-2-4R,,,,,,,RADIOGRAPHY (ANSI B16.34)+NIBR+HELIUM LEAK TEST+NACE MR 01 75,,,,FM,SHAVO,,ASCO,,ROTEX,
,,,SS316L,F22 NITR,A890 CD3MN/DUPLEX 2205,,,8400SPHNW-60,NF8327B002,SB20K-4N-M1P-RGMB,,DNLF-13A-2-4R,,,,,,,NIBR+HELIUM LEAK TEST,,,,FM,SHAVO,,ASCO,,ROTEX,
,,,SS316L STEL,MONEL,ASTM A995 GR CD3MN-4A/DUPLEX 2205,,,8400SPHTE - 60,NFTIS8327B302,SB20K-2N-M1D-RGMN,,DNLF-22A-2-4R,,,,,,,IBR,,,,FM,SHAVO,,ASCO,,ROTEX,
,,,SS304,HAST-C,ASTM A890 GR. CE3MN-5A (PREN > 40),,,8400SPHTE - 100,WP8320B174MO,11-4SN-201T-A6KA-NS,,DNLF-22A-4-4R,,,,,,,IBR+MP,,,,FM,SHAVO,,ASCO,,ROTEX,
,,,SS304L,SS321-nitr.,ASTM A995 GR CE3MN-5A/DUPLEX 2205,,,8400SPHNE-100,WP8320B174MS,11-4SN-201M-M6KN-NS,,DNLF-302A-2-4R,,,,,,,IBR+MP+LP+UT,,,,FM,SHAVO,,ASCO,,ROTEX,
,,,SS304LSTEL,SS321,,,,8400SPNTW-100,WP8320A200,SB20K-4N-M1P-RGMB,,DNLF-202A-2-4R,,,,,,,LP TESTING+NIBR,,,,FM,SHAVO,,ASCO,,ROTEX,
,,,SS431 NITR,SS321 STEL,,,,8400SPNNE-60,WPHT8320A200,SB77-251-M6KN-N,,DNLF-1A-2-4R-CC,,,,,,,KV TESTING+IBR,,,,FM,SHAVO,,ASCO,,ROTEX,
,,,A276 SS431,SS440C HARDENED,,,,830-IS,30301-2.2-2R-M6-24VDC-16,SB07-225-A1KC,,DXLW-302A-2-4R,,,,,,,LP TESTING+IBR,,,,FM,SHAVO,,ROTEX,,ROTEX,
,,,SS431 STEL,SS440C,,,,831-EX,30301-2.2-2R-B5-24VDC-37,11-4SN-201L-A2KA-ES,,DXLW-1A-2-4R,,,,,,,NACE MR 01 75+RADIOGRAPHY (ANSI B16.34)+IBR,,,,FM,SHAVO,,ROTEX,,ROTEX,
,,,F22 NITR,1.4922,,,,8400SHNW,30301-2.2-2R-110VAC-60HZ-16,SB07-225-M6KA,,DXLW-13A-2-4R,,,,,,,NIBR+RADIOGRAPHY (ANSI B16.34)+MP+LP+UT+EN CERTIFICATION (EN 10204 3.1),,,,FM,SHAVO,,ROTEX,,ROTEX,
,,,MONEL,A276 SS317 STELLITED,,,,8400SHHW,30125-2.5-2R-M6-24VDC-22-LED,11-4SN-401M-M5KN-NS,,NI15-M30-AZ3X 5M,,,,,,,NIBR+RADIOGRAPHY (ANSI B16.34)+LP+UT+EN CERTIFICATION (EN 10204 3.1),,,,FM,SHAVO,,ROTEX,,ROTEX,
,,,1.4922 NITR,17-4 PH,,,,830T-EX,30301-2.5-2R-M6-230VAC-50HZ-37,SB20K-2A-A1D-RGLN,,DXLW-202A-2-4R-M1,,,,,,,NON-IBR,,,,FM,SHAVO,,ROTEX,,ROTEX,
,,,SS DUPLEX (ASTM A182 GR. F53),SS DUPLEX (ASTM A182 GR. F53),,,,8400SHHE,30301-2.2-2R-240VAC-50HZ-37-H,SB20K-2N-M6D-RNLN,,DNLF-6A-2-4R,,,,,,,NACE+HELIUM LEAK TEST+NIBR,,,,FM,SHAVO,,ROTEX,,ROTEX,
,,,ALLOY 20,ALLOY 20,,,,ND9203-HXE1T-A3CE09,30301-2.2-2R-B5-240VAC-50HZ-37-H,SB07-224-A1KA,,DNLF-11A-2-4R-B5,,,,,,,NIBR+RADIOGRAPHY (ANSI B16.34)+MP+PMI,,,,METSO,SHAVO,,ROTEX,,ROTEX,
,,,SS DUPLEX (ASTM A182 GR. F51),SS DUPLEX (ASTM A182 GR. F51),,,,ND9203-HE1T-CE07,30301-2.2-2R-24VDC-37-H,SB20K-2A-M6D-RGLN,,,,,,,,,NACE MR 01 75+RADIOGRAPHY (ANSI B16.34)+MP+PMI,,,,METSO,SHAVO,,ROTEX,,,
,,,1.4922 NITRIDED,1.4922 NITRIDED,,,,ND9203-HXT-CE09,30308-SL-5-2R-230VAC-50HZ-37-H,SB07-200-M2KA,,,,,,,,,NIBR+NACE 0103,,,,METSO,SHAVO,,ROTEX,,,
,,,1.4922,1.4922,,,,ND9203-FXE1-CE09,30301-2.2-2R-110VAC-50HZ-37-H,SB07-221-M6KB,,,,,,,,,NIBR+MP+LP+UT,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,NDX1510HG-XN1N0-DS51,30308-SL-5-2R-M8-230VAC-50HZ-37-H,SB20K-4A-M6D-RGLN,,,,,,,,,100% RADIOGRAPHY+NIBR,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9103HX-CE07,30301-2.2-2R-B5-230VAC-50HZ-16,SB77-271-M6MA-N,,,,,,,,,IBR+RADIOGRAPHY (ANSI B16.34)+MP+LP,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9103FX-CE07,30310-2R-B5-M6,SB77-271-M5MN-N,,,,,,,,,RADIOGRAPHY (ANSI B16.34)+IBR+MP,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9103HN-CE07,30308-5-2R-B2-S2-16,SB77-271-M6MN-N,,,,,,,,,NIBR+MP,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9106HX-CE07,30301-1.8-2R-24VDC-16-LED,SB77-271-M5KA-N,,,,,,,,,RADIOGRAPHY (ANSI B16.34)+NIBR+MP,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9106FX-CE07,30308-5-2R-B5-110VAC-50HZ-16-CO,SB67-421-M7MN-N,,,,,,,,,IBR+RADIOGRAPHY (ANSI B16.34)+MP+PMI,,,,METSO,SHAVO,,ROTEX,,,
,,,,,,,,ND9203FE1-CE09-Y,P3017-5-2R-B5-M6+24VDC-16-LW1.8,SB77-271-M7MN-B,,,,,,,,,RADIOGRAPHY (ANSI B16.34)+IBR+MP+UT+PMI+LP+HARNESS TEST,,,,METSO,SHAVO,,ROTEX,,,
