VALVESIZE,VALVESIZEmm,SEATDIA,SEATDIA PR. BAL,STEM DIA,STEM DIA PRBL,LINKVMIN,LINKVMAX,LINCVMIN,LINCVMAX
1,25,20,0,14,0,1.5,4.1,1.76,4.8
1,25,25,0,14,0,2,6.1,2.34,7.14
2,50,36,0,14,0,3,10.6,3.51,12.4
2,50,46,0,14,0,3.5,12.2,4.1,14.27
2,50,50,0,14,0,13.2,13.2,15.44,15.44
