VALVE SIZE,VALVE TRAVEL,ACTUATOR TRAVEL
0.5,16,20
1,16,20
1.5,16,20
2,16,20
2.5,16,20
3,30,30
4,30,30
6,60,60
8,60,60
10,100,100
12,100,100
14,100,100
16,120,120
