SEAT DIA(mm),PTFE/EPDM 140Grd,PTFE/VITON 180Grd,PTFE-Trapez 200Grd,PEEK 250Grd,PEEK/plug
3,1083.3,1083.3,1083.3,2166.6,1789.8
4,1083.3,1083.3,1083.3,2166.6,1789.8
5,1083.3,1083.3,1083.3,2166.6,1789.8
6,1083.3,1083.3,1083.3,2166.6,1789.8
7,1083.3,1083.3,1083.3,2166.6,1789.8
8.5,1083.3,1083.3,1083.3,2166.6,1789.8
11,1083.3,1083.3,1083.3,2166.6,1789.8
16,1083.3,1083.3,1083.3,2166.6,1789.8
19,1271.1,1271.1,1271.1,2542.2,2072.4
24,1507.2,1507.2,1507.2,3014.4,2543.4
32,1954.65,1954.65,1954.65,3909.3,3297
37,2119.5,2119.5,2119.5,4239,3768
48,2708.25,2708.25,2708.25,5416.5,4804.2
62,3179.25,3179.25,3179.25,6358.5,6123
73,3885.75,3885.75,3885.75,7771.5,7159.2
90,4686.45,4686.45,4686.45,9372.9,8760.6
113,5769.75,5769.75,5769.75,11539.5,10927.2
143,7559.55,7559.55,7559.55,15119.1,13753.2
172,8548.65,8548.65,8548.65,17097.3,16485
