Valve size(inches),Lift,maximum Kv values,Kv VALUES FOR CAGE,Fd values for cage
1,20,0.04,33.5,0.1178
1,20,0.06,33.5,0.1178
1,20,0.1,33.5,0.1178
1,20,0.16,33.5,0.1178
1,20,0.25,33.5,0.1178
1,20,0.4,33.5,0.1178
1,20,0.63,33.5,0.1178
1,20,1,33.5,0.1178
1,20,1.6,33.5,0.1178
1,20,2.5,33.5,0.1178
1,20,4,33.5,0.1178
1,20,7,33.5,0.1178
1,20,11,33.5,0.1178
1.5,20,7,40,0.105
1.5,20,11,40,0.105
1.5,20,18,40,0.105
1.5,20,26,40,0.105
2,30,18,63,0.105
2,30,26,63,0.105
2,30,43,63,0.105
3,30,43,214,0.079
3,30,68,214,0.079
3,30,100,214,0.079
4,30,68,250,0.0608
4,30,100,250,0.0608
4,30,150,250,0.0608
6,60,150,475,0.055
6,60,260,475,0.055
6,60,380,475,0.055
8,60,260,900,0.043
8,60,380,900,0.043
8,60,650,900,0.043
