VALVESIZEinch,VALVESIZEmm,SEATDIA,SEATDIA PR. BAL,STEM DIAMETER(NON. PR. BAL.),STEM DIAMETER(PR. BAL.),LINKVMIN,LINKVMAX,EQKVMIN,EQKVMAX,LINCVMIN,LINCVMAX,EQCVMIN,EQCVMAX
1,25,16,0,20,0,0,0,0,0,0,0,0,0
1,25,19,0,20,0,1,2.6,1,1.5,1.17,3.042,1.17,1.755
1,25,24,0,20,0,1.2,3.2,1,1.8,1.404,3.744,1.17,2.106
1.5,40,32,0,20,0,2.5,8,1.5,4,2.925,9.36,1.755,4.68
1.5,40,37,0,20,0,3,9.7,2,4.8,3.51,11.349,2.34,5.616
2,50,32,0,20,0,2.5,8,1.5,4,2.925,9.36,1.755,4.68
2,50,37,0,20,0,3,9.7,2,4.8,3.51,11.349,2.34,5.616
3,80,45,73,25,25,4,11,2,5.5,4.68,12.87,2.34,6.435
3,80,60,73,25,25,5,14,2.5,7,5.85,16.38,2.925,8.19
3,80,75,73,25,25,6,18,3,9,7.02,21.06,3.51,10.53
4,100,75,90,40,25,6,18,3,9,7.02,21.06,3.51,10.53
4,100,90,90,40,25,8,24,4,12,9.36,28.08,4.68,14.04
4,100,130,90,40,25,15,75,7,37,17.55,87.75,8.19,43.29
6,150,90,143,40,25,16,53,6,25,18.72,62.01,7.02,29.25
6,150,120,143,40,25,25,72,7,36,29.25,84.24,8.19,42.12
6,150,160,143,40,25,30,95,8,47,35.1,111.15,9.36,54.99
8,200,190,172,60,40,40,112,9,56,46.8,131.04,10.53,65.52
10,250,220,220,60,40,90,245,25,120,105.3,286.65,29.25,140.4
