VALVESIZE,VALVESIZEmm,SEATDIA,SEATDIA PR. BAL,STEM DIA,STEM DIA PRBL,LINKVMIN,LINKVMAX,LINCVMIN,LINCVMAX
1,25,19,0,20,0,1,2.6,1.17,3.04
1,25,24,0,20,0,1.2,3.2,1.4,3.74
1,25,24,0,20,0,1.2,3.2,1.4,3.74
1.5,40,37,0,20,0,1.8,5.4,2.11,6.32
2,50,37,0,20,0,2.9,9.7,3.39,11.35
2,50,48,0,20,0,3.5,12.1,4.1,14.16
3,80,48,73,20,0,3.5,12.1,4.1,14.16
3,80,62,73,20,0,4.5,15.7,5.27,18.37
3,80,73,73,20,0,5.5,18.2,6.44,21.29
4,100,62,90,20,0,4.5,15.7,5.27,18.37
4,100,73,90,20,0,5.5,18.2,6.44,21.29
4,100,90,90,20,0,7,24.2,8.19,28.31
6,150,90,143,20,0,16,53,18.72,62.01
6,150,113,143,20,0,20,67,23.4,78.39
6,150,143,143,20,0,25,88,29.25,102.96
8,200,113,172,20,0,20,67,23.4,78.39
8,200,143,172,20,0,25,88,29.25,102.96
8,200,172,172,20,0,32,107,37.44,125.19
