Temperature  Celsius,Vapour Pressure BarA,Critical Pressure BarA,Density Kg/m3,Sp.Gravity,hf (Btu/lb),hfg (Btu/lb),vf m3/kg,vg m3/kg,Dynamic Viscocity cp,Kinematic Viscocity m2/s
138.3333,3.44408885,220.4,927.5311523,0.927531152,250.3000,924.2,0.001078131,0.532135948,1,1.07813E-06
138.8889,3.49924685,220.4,926.9943866,0.926994387,251.3000,923.4,0.001078755,0.524270025,1,1.07876E-06
139.4444,3.555094325,220.4,926.4582418,0.926458242,252.3000,922.7,0.001079379,0.516591386,1,1.07938E-06
140.0000,3.611631275,220.4,925.9227168,0.925922717,253.3000,922.0,0.001080004,0.508975174,1,1.08E-06
140.5556,3.6688577,220.4,925.9227168,0.925922717,254.4000,921.3,0.001080004,0.501546247,1,1.08E-06
141.1111,3.726084125,220.4,925.3878105,0.925387811,255.4000,920.6,0.001080628,0.494242175,1,1.08063E-06
141.6667,3.7846895,220.4,924.8535219,0.924853522,256.4000,919.9,0.001081252,0.48706296,1,1.08125E-06
142.2222,3.844673825,220.4,924.31985,0.92431985,257.4000,919.1,0.001081877,0.479946172,1,1.08188E-06
142.7778,3.90465815,220.4,923.7867935,0.923786794,258.5000,918.4,0.001082501,0.473016668,1,1.0825E-06
143.3333,3.96533195,220.4,923.2543516,0.923254352,259.5000,917.7,0.001083125,0.46621202,1,1.08313E-06
143.8889,4.026695225,220.4,922.722523,0.922722523,260.5000,917.0,0.001083749,0.459469801,1,1.08375E-06
144.4444,4.08943745,220.4,922.1913069,0.922191307,261.5000,916.2,0.001084374,0.452914865,1,1.08437E-06
145.0000,4.152179675,220.4,921.660702,0.921660702,262.6000,915.5,0.001084998,0.446422357,1,1.085E-06
145.5556,4.21630085,220.4,921.1307073,0.921130707,263.6000,914.8,0.001085622,0.440054704,1,1.08562E-06
146.1111,4.2811115,220.4,920.6013218,0.920601322,264.6000,914.1,0.001086247,0.433811908,1,1.08625E-06
146.6667,4.346611625,220.4,920.0725445,0.920072545,265.7000,913.3,0.001086871,0.42763154,1,1.08687E-06
147.2222,4.412801225,220.4,919.5443743,0.919544374,266.7000,912.6,0.001087495,0.421576028,1,1.0875E-06
147.7778,4.4796803,220.4,919.0168101,0.91901681,267.7000,911.8,0.001088119,0.415645371,1,1.08812E-06
148.3333,4.547938325,220.4,918.4898509,0.918489851,268.8000,911.1,0.001088744,0.409839571,1,1.08874E-06
148.8889,4.616885825,220.4,917.9634957,0.917963496,269.8000,910.4,0.001089368,0.404096198,1,1.08937E-06
149.4444,4.6865228,220.4,917.4377434,0.917437743,270.8000,909.6,0.001089992,0.398415254,1,1.08999E-06
150.0000,4.75684925,220.4,916.912593,0.916912593,271.8000,908.9,0.001090616,0.392859165,1,1.09062E-06
150.5556,4.827865175,220.4,916.3880435,0.916388043,272.9000,908.1,0.001091241,0.387365504,1,1.09124E-06
151.1111,4.90026005,220.4,915.8640938,0.915864094,273.9000,907.4,0.001091865,0.3819967,1,1.09187E-06
151.6667,4.9733444,220.4,915.3407429,0.915340743,274.9000,906.7,0.001092489,0.376752751,1,1.09249E-06
152.2222,5.047118225,220.4,914.8179897,0.91481799,276.0000,905.9,0.001093114,0.37157123,1,1.09311E-06
152.7778,5.121581525,220.4,914.2958333,0.914295833,277.0000,905.2,0.001093738,0.366452137,1,1.09374E-06
153.3333,5.197423775,220.4,913.7742727,0.913774273,278.0000,904.4,0.001094362,0.361395472,1,1.09436E-06
153.8889,5.2739555,220.4,913.2533067,0.913253307,279.1000,903.6,0.001094986,0.356463663,1,1.09499E-06
154.4444,5.3511767,220.4,912.7329345,0.912732934,280.1000,902.9,0.001095611,0.351594282,1,1.09561E-06
155.0000,5.429087375,220.4,912.2131549,0.912213155,281.1000,902.1,0.001096235,0.346787329,1,1.09624E-06
155.5556,5.508377,220.4,911.693967,0.911693967,282.2000,901.4,0.001096859,0.342105232,1,1.09686E-06
156.1111,5.589045575,220.4,911.1753697,0.91117537,283.2000,900.6,0.001097484,0.337485563,1,1.09748E-06
156.6667,5.66971415,220.4,910.6573621,0.910657362,284.3000,899.8,0.001098108,0.332928322,1,1.09811E-06
157.2222,5.751761675,220.4,910.1399432,0.910139943,285.3000,899.1,0.001098732,0.328433508,1,1.09873E-06
157.7778,5.834498675,220.4,909.6231119,0.909623112,286.3000,898.3,0.001099356,0.324063551,1,1.09936E-06
158.3333,5.918614625,220.4,909.1068672,0.909106867,287.4000,897.5,0.001099981,0.319693594,1,1.09998E-06
158.8889,6.00342005,220.4,908.5912082,0.908591208,288.4000,896.8,0.001100605,0.315448492,1,1.1006E-06
159.4444,6.089604425,220.4,908.0761338,0.908076134,289.4000,896.0,0.001101229,0.311203391,1,1.10123E-06
160.0000,6.1757888,220.4,907.5616431,0.907561643,290.5000,895.2,0.001101854,0.307083145,1,1.10185E-06
160.5556,6.2640416,220.4,907.047735,0.907047735,291.5000,894.5,0.001102478,0.303025328,1,1.10248E-06
161.1111,6.3522944,220.4,906.5344086,0.906534409,292.6000,893.7,0.001103102,0.299029938,1,1.1031E-06
161.6667,6.442615625,220.4,906.0216629,0.906021663,293.6000,892.9,0.001103726,0.295096977,1,1.10373E-06
162.2222,6.53293685,220.4,905.5094969,0.905509497,294.6000,892.1,0.001104351,0.291226443,1,1.10435E-06
162.7778,6.624637025,220.4,904.9979096,0.90499791,295.7000,891.3,0.001104975,0.287355909,1,1.10497E-06
163.3333,6.71771615,220.4,903.9764673,0.903976467,296.7000,890.6,0.001106223,0.283610232,1,1.10622E-06
163.8889,6.81148475,220.4,903.4666103,0.90346661,297.8000,889.8,0.001106848,0.279926982,1,1.10685E-06
164.4444,6.90801125,220.4,902.9573281,0.902957328,298.8000,889.0,0.001107472,0.27630616,1,1.10747E-06
165.0000,7.00453775,220.4,902.4486197,0.90244862,299.8000,888.2,0.001108096,0.272685338,1,1.1081E-06
165.5556,7.10106425,220.4,901.9404842,0.901940484,300.9000,887.4,0.001108721,0.269189372,1,1.10872E-06
166.1111,7.19759075,220.4,901.4329207,0.901432921,301.9000,886.6,0.001109345,0.265693406,1,1.10934E-06
166.6667,7.29411725,220.4,900.925928,0.900925928,303.0000,885.8,0.001109969,0.262259869,1,1.10997E-06
167.2222,7.3975385,220.4,900.4195053,0.900419505,304.0000,885.0,0.001110593,0.258888759,1,1.11059E-06
167.7778,7.50095975,220.4,899.9136517,0.899913652,305.1000,884.2,0.001111218,0.255580077,1,1.11122E-06
168.3333,7.59748625,220.4,899.4083661,0.899408366,306.1000,883.4,0.001111842,0.252333823,1,1.11184E-06
168.8889,7.7009075,220.4,898.3994952,0.898399495,307.1000,882.6,0.001113091,0.249087569,1,1.11309E-06
169.4444,7.8112235,220.4,897.8959081,0.897895908,308.2000,881.8,0.001113715,0.24596617,1,1.11371E-06
170.0000,7.91464475,220.4,897.3928852,0.897392885,309.2000,881.0,0.001114339,0.242844772,1,1.11434E-06
170.5556,8.018066,220.4,896.8904255,0.896890426,310.3000,880.2,0.001114963,0.239785802,1,1.11496E-06
171.1111,8.128382,220.4,896.3885283,0.896388528,311.3000,879.4,0.001115588,0.236726832,1,1.11559E-06
171.6667,8.238698,220.4,895.8871924,0.895887192,312.4000,878.6,0.001116212,0.23373029,1,1.11621E-06
172.2222,8.349014,220.4,895.386417,0.895386417,313.4000,877.7,0.001116836,0.230796176,1,1.11684E-06
172.7778,8.45933,220.4,894.8862011,0.894886201,314.5000,876.9,0.001117461,0.227924489,1,1.11746E-06
173.3333,8.569646,220.4,893.8874442,0.893887444,315.5000,876.1,0.001118709,0.225052803,1,1.11871E-06
173.8889,8.68685675,220.4,893.3889013,0.893388901,316.6000,875.3,0.001119333,0.222305973,1,1.11933E-06
174.4444,8.8040675,220.4,892.8909142,0.892890914,317.6000,874.5,0.001119958,0.219496715,1,1.11996E-06
175.0000,8.9143835,220.4,892.3934819,0.892393482,318.7000,873.6,0.001120582,0.216812312,1,1.12058E-06
175.5556,9.03159425,220.4,891.8966036,0.891896604,319.7000,872.8,0.001121206,0.21412791,1,1.12121E-06
176.1111,9.15569975,220.4,891.4002782,0.891400278,320.8000,872.0,0.00112183,0.211443507,1,1.12183E-06
176.6667,9.2729105,220.4,890.4092829,0.890409283,321.8000,871.1,0.001123079,0.208883961,1,1.12308E-06
177.2222,9.397016,220.4,889.9146111,0.889914611,322.9000,870.3,0.001123703,0.206324415,1,1.1237E-06
177.7778,9.51422675,220.4,889.4204886,0.889420489,323.9000,869.5,0.001124328,0.203764868,1,1.12433E-06
178.3333,9.63833225,220.4,888.9269145,0.888926915,325.0000,868.6,0.001124952,0.20126775,1,1.12495E-06
178.8889,9.76243775,220.4,888.433888,0.888433888,326.0000,867.8,0.001125576,0.198833059,1,1.12558E-06
179.4444,9.893438,220.4,887.4494737,0.887449474,327.1000,866.9,0.001126825,0.196398369,1,1.12682E-06
180.0000,10.0175435,220.4,886.9580842,0.886958084,328.1000,866.1,0.001127449,0.194026106,1,1.12745E-06
180.5556,10.14854375,220.4,886.4672385,0.886467239,329.2000,865.3,0.001128073,0.191653843,1,1.12807E-06
181.1111,10.279544,220.4,885.9769358,0.885976936,330.2000,864.4,0.001128698,0.189344009,1,1.1287E-06
181.6667,10.41054425,220.4,885.4871752,0.885487175,331.3000,863.6,0.001129322,0.187096602,1,1.12932E-06
182.2222,10.5415445,220.4,884.5092766,0.884509277,332.4000,862.7,0.00113057,0.184849196,1,1.13057E-06
182.7778,10.67254475,220.4,884.0211369,0.884021137,333.4000,861.8,0.001131195,0.182601789,1,1.13119E-06
183.3333,10.81043975,220.4,883.5335356,0.883533536,334.5000,861.0,0.001131819,0.18041681,1,1.13182E-06
183.8889,10.94833475,220.4,883.0464719,0.883046472,335.5000,860.1,0.001132443,0.17829426,1,1.13244E-06
184.4444,11.08622975,220.4,882.0739537,0.882073954,336.6000,859.3,0.001133692,0.176171709,1,1.13369E-06
185.0000,11.22412475,220.4,881.5884975,0.881588498,337.6000,858.4,0.001134316,0.174049158,1,1.13432E-06
185.5556,11.36201975,220.4,881.1035754,0.881103575,338.7000,857.5,0.00113494,0.171989035,1,1.13494E-06
186.1111,11.5068095,220.4,880.6191864,0.880619186,339.8000,856.7,0.001135565,0.169991341,1,1.13556E-06
186.6667,11.65159925,220.4,879.6520044,0.879652004,340.8000,855.8,0.001136813,0.167931218,1,1.13681E-06
187.2222,11.796389,220.4,879.1692097,0.87916921,341.9000,854.9,0.001137437,0.165995951,1,1.13744E-06
187.7778,11.94117875,220.4,878.6869446,0.878686945,343.0000,854.0,0.001138062,0.164060684,1,1.13806E-06
188.3333,12.09286325,220.4,878.2052083,0.878205208,344.0000,853.2,0.001138686,0.162125417,1,1.13869E-06
188.8889,12.237653,220.4,877.2433187,0.877243319,345.1000,852.3,0.001139935,0.160190151,1,1.13993E-06
189.4444,12.3893375,220.4,876.7631637,0.876763164,346.1000,851.4,0.001140559,0.158317312,1,1.14056E-06
190.0000,12.541022,220.4,876.2835339,0.876283534,347.2000,850.5,0.001141183,0.156506901,1,1.14118E-06
190.5556,12.6927065,220.4,875.325847,0.875325847,348.3000,849.6,0.001142432,0.15469649,1,1.14243E-06
191.1111,12.85128575,220.4,874.8477881,0.874847788,349.3000,848.7,0.001143056,0.152886079,1,1.14306E-06
191.6667,13.00297025,220.4,874.3702511,0.874370251,350.4000,847.8,0.00114368,0.151138096,1,1.14368E-06
192.2222,13.1615495,220.4,873.8932351,0.873893235,351.5000,846.9,0.001144305,0.149390113,1,1.1443E-06
192.7778,13.32012875,220.4,872.9407629,0.872940763,352.5000,846.0,0.001145553,0.14764213,1,1.14555E-06
193.3333,13.48560275,220.4,872.465305,0.872465305,353.6000,845.1,0.001146177,0.145956575,1,1.14618E-06
193.8889,13.644182,220.4,871.9903647,0.871990365,354.7000,844.2,0.001146802,0.14427102,1,1.1468E-06
194.4444,13.809656,220.4,871.0420337,0.871042034,355.7000,843.3,0.00114805,0.142647893,1,1.14805E-06
195.0000,13.97513,220.4,870.5686413,0.870568641,356.8000,842.4,0.001148675,0.141024766,1,1.14867E-06
195.5556,14.140604,220.4,870.0957632,0.870095763,357.9000,841.5,0.001149299,0.139401639,1,1.1493E-06
196.1111,14.31297275,220.4,869.1515464,0.869151546,358.9000,840.6,0.001150547,0.13784094,1,1.15055E-06
196.6667,14.47844675,220.4,868.6802061,0.868680206,360.0000,839.7,0.001151172,0.136280241,1,1.15117E-06
197.2222,14.6508155,220.4,867.7390574,0.867739057,361.1000,838.7,0.00115242,0.134719542,1,1.15242E-06
197.7778,14.830079,220.4,867.2692474,0.867269247,362.2000,837.8,0.001153044,0.133221271,1,1.15304E-06
198.3333,15.00244775,220.4,866.7999459,0.866799946,363.2000,836.9,0.001153669,0.131723,1,1.15367E-06
198.8889,15.1748165,220.4,865.8628649,0.865862865,364.3000,836.0,0.001154917,0.130224729,1,1.15492E-06
199.4444,15.35408,220.4,865.3950837,0.865395084,365.4000,835.0,0.001155542,0.128788886,1,1.15554E-06
200.0000,15.5333435,220.4,864.9278078,0.864927808,366.5000,834.1,0.001156166,0.127290615,1,1.15617E-06
200.5556,15.71950175,220.4,863.9947681,0.863994768,367.5000,833.2,0.001157414,0.125917199,1,1.15741E-06
201.1111,15.89876525,220.4,863.5290027,0.863529003,368.6000,832.2,0.001158039,0.124481356,1,1.15804E-06
201.6667,16.0849235,220.4,862.5989768,0.862598977,369.7000,831.3,0.001159287,0.123107941,1,1.15929E-06
